transcript_id	gene_id	SRR10676821	SRR10676822	SRR10676823	SRR10676824	SRR10676825	SRR10676826	SRR10676827	SRR10676828	SRR10676829	SRR10676830	SRR10676831	SRR10676832	SRR10676833	SRR10676834	SRR10676835	SRR10676836	SRR10676837	SRR10676838	SRR10676839	SRR10676840	SRR10676949	SRR10676952	SRR10676954	SRR10676955	SRR10676957	SRR10676961	SRR10676962	SRR10676964	SRR10676967	SRR10676968	SRR10676970	SRR10676971	SRR10676972	SRR10676973	SRR10676975	SRR10676977	SRR10676978	SRR10676979	SRR10676980	SRR10676981	SRR10676984	SRR10676985	SRR10676987	SRR10676988	SRR10676990	SRR10676991	SRR10676992	SRR10676993	SRR10676994	SRR10676995	SRR10676997	SRR10676998	SRR10676999	SRR10677000	SRR10677002	SRR10677003	SRR10677005	SRR10677006	SRR10677007	SRR10677008	SRR10677010	SRR10677011	SRR10677012	SRR10677013	SRR10677016	SRR10677017	SRR10677019	SRR10677024	SRR10677026	SRR10677032	SRR10677033	SRR10677038	SRR10677040	SRR10677044	SRR10677045	SRR10677046	SRR10677047	SRR10677048	SRR10677049	SRR10677050	SRR10677052	SRR10677053	SRR10677056	SRR10677057	SRR10677058	SRR10677060	SRR10677061	SRR10677062	SRR10677063	SRR10677064	SRR10677065	SRR10677067	SRR10677068	SRR10677069	SRR10677071	SRR10677072	SRR10677073	SRR10677074	SRR10677075	SRR10677076	SRR10677077	SRR10677078	SRR10677079	SRR10677081	SRR10677082	SRR10677083	SRR10677084	SRR10677085	SRR10677086	SRR10677087	SRR10677092	SRR10677094	SRR10677095	SRR10677097	SRR10677098	SRR10677099	SRR10677101	SRR10677102	SRR10677104	SRR10677105	SRR10677107	SRR10677109	SRR10677110	SRR10677111	SRR10677112	SRR10677113	SRR10677114	SRR10677115	SRR10677116	SRR10677117	SRR10677119	SRR10677123	SRR10677124	SRR10677125	SRR10677126	SRR10677127	SRR10677132	SRR10677133	SRR10677134	SRR10677135	SRR10677136	SRR10677137	SRR10677138	SRR10677139	SRR10677140	SRR10677141	SRR10677142	SRR10677147	SRR10677148	SRR10677149	SRR10677150	SRR10677151	SRR10677153	SRR10677155	SRR10677157	SRR10677158	SRR10677161	SRR10677163	SRR10677168	SRR10677171	SRR10677174	SRR10677175	SRR10677176	SRR10677177	SRR10677179	SRR10677184
ENST00000203407	ENSG00000010256	213.723	254.378	280.409	171.562	241.296	152.051	220.458	301.962	323.893	112.331	406.904	254.424	288.074	240.215	315.096	431.768	320.394	323.486	271.161	256.937	245.69	233.778	182.781	371.862	264.257	203.904	353.055	196.418	352.351	273.938	195.384	219.014	453.496	156.997	189.69	176.509	266.964	135.38	212.116	254.463	373.448	268.477	212.522	258.959	386.459	266.021	128.507	325.148	298.139	430.39	212.24	189.067	206.112	229.323	206.847	284.829	279.775	443.905	336.612	319.605	225.629	260.201	248.94	342.175	226.942	388.958	265.606	202.545	227.16	266.382	250.903	92.4391	279.24	174.101	365.249	400.11	247.574	247.278	409.829	245.288	208.555	379.669	263.664	317.28	417.148	201.75	320.744	241.605	362.541	174.212	379.374	362.641	357.196	303.508	172.086	218.395	390.112	175.109	236.356	479.125	442.322	237.67	184.062	203.956	143.424	181.108	186.358	362.651	344.185	52.2787	293.271	146.51	215.059	470.694	289.268	236.672	190.384	225.827	255.953	238.301	256.548	162.777	404.937	421.139	232.724	264.326	397.014	279.607	300.282	394.053	257.686	286.106	285.934	303.74	284.314	226.377	388.061	168.437	197.054	178.017	214.617	226.357	306.863	229.651	327.643	339.741	396.057	551.509	337.882	401.49	260.454	237.465	438.998	419.199	282.079	186.083	192.147	302.791	423.875	73.635	484.315	397.859	225.103	245.37	236.791	127.733
ENST00000336079	ENSG00000067048	23.9004	17.2312	30.6756	0.00673504	0.0	9.00072	20.1405	0.0	0.0788951	0.0487541	8.0174	21.4258	10.0455	0.0421798	17.4043	0.0430561	14.8357	14.8822	0.0	13.217	4.86616	19.2431	18.6718	11.6328	14.6061	12.1508	0.0	0.015825	0.0147022	9.86875	0.0258644	16.258	0.0106273	0.0	0.0361411	17.3177	0.0396901	0.0	0.0330792	0.0	0.0111817	13.3299	0.0	0.0341628	7.02464	0.0196024	21.0666	13.4258	0.00716387	17.0205	20.6815	0.0190459	0.0331506	14.6304	15.7639	0.134589	0.00820433	10.0325	5.36409	15.3663	20.7468	0.0	0.0	8.9144	16.2678	11.063	20.8048	0.0095228	0.00901815	32.1693	0.0176717	7.85096	18.2868	0.0	24.5482	0.0462994	23.6884	0.0205882	0.0159376	22.0083	0.0195172	0.0184079	0.0125188	0.0	4.31458	0.0176452	0.025249	17.2431	10.6637	0.0173396	0.0234729	0.00732241	6.46496	15.9109	0.074288	23.4851	15.4234	20.2415	0.00714793	13.833	8.76352	0.00902795	0.0157995	0.0206436	0.00831995	0.0382327	0.0	12.8874	0.0	0.0355717	0.0	0.0391571	20.4661	0.0	0.0130771	0.00892984	0.017273	20.8812	0.0426022	0.011769	31.6913	0.0	4.32993	6.62278	0.15013	11.551	0.00689208	0.0474653	0.0	2.49458	0.00827474	0.0	0.0	0.0	7.91683	0.184712	0.0102251	0.325998	18.3961	17.1755	0.00475748	15.6253	17.7984	0.0170466	0.0	11.1632	4.23036	33.229	17.1751	0.0	0.0	22.4412	7.90277	0.0	8.80241	25.2716	0.0	0.00556091	0.0180583	19.5101	0.00301042	12.6516	17.8128	0.0166815	4.99163	0.0
ENST00000383052	ENSG00000067646	4.16038	3.40193	3.47519	0.0	0.0	1.40582	3.97531	0.00754996	0.0067566	0.0	1.21695	3.82305	1.56549	0.0	3.05658	0.0092174	2.93131	3.34092	0.0	2.02135	1.06149	3.88707	2.73309	2.80051	2.54738	2.96213	0.0	0.00904668	0.0126008	1.41452	0.0	3.87727	0.0	0.00510066	0.0	3.34612	0.00541055	0.0	0.0	0.0	0.0	2.35329	0.0	0.0146352	1.11665	0.0	4.04808	2.78379	0.0	2.44772	4.5829	0.00817972	0.0	3.75021	3.47456	0.0230631	0.0	0.915501	0.516843	1.4485	3.35234	0.00630037	0.0	1.27785	2.63582	0.667754	4.66892	0.0	0.0	6.7352	0.0	0.869631	3.76083	0.0	5.07914	0.0	4.37227	0.0152627	0.0	4.75845	0.0	0.0	0.0	0.00561368	0.33753	0.00689662	0.0	3.59807	2.30625	0.0	0.00503036	0.0	1.39861	3.11538	0.0	4.45577	1.65819	4.48621	0.0	1.31509	1.70572	0.00386706	0.0	0.0088357	0.0	0.0	0.0	2.58216	0.0	0.0	0.0	0.00671199	1.21263	0.00523507	0.0190601	0.0	0.012618	3.62779	0.0	0.0	3.06872	0.0	1.02411	1.09451	0.0	2.2947	0.0054389	0.0135495	0.0	0.619328	0.00679136	0.0	0.0	0.0	1.69107	0.0879757	0.0148966	0.00696517	5.00147	3.9753	0.0	3.13636	4.19379	0.0	0.00965863	1.84219	0.594884	5.83531	2.95487	0.0	0.00658827	4.73688	1.53043	0.0	1.52107	4.6884	0.0085937	0.0	0.0	3.6899	0.0	1.98895	3.33335	0.0	1.36054	0.0
ENST00000406310	ENSG00000173153	1.78793	3.4319	3.29429	1.70081	2.86859	14.5123	0.981865	2.83548	3.10479	15.1838	7.42057	4.8608	3.58312	3.22376	6.59086	6.75888	3.5875	4.40169	2.53006	1.4244	16.955	2.04199	1.91783	4.90305	3.20736	0.668454	4.75027	4.24103	10.0895	4.30164	6.93508	0.456165	7.31261	2.71151	2.53652	2.50073	2.93613	0.0	2.96813	5.69347	6.7897	0.482396	1.71621	3.55683	4.99328	2.96974	0.967183	3.10117	3.36815	3.3672	1.388	3.45845	2.62733	2.52643	3.2976	4.65057	4.28995	4.6562	6.29156	7.59672	2.94622	3.07006	2.47019	6.71259	4.12918	3.22243	1.71913	0.629572	2.07726	5.01722	1.51868	1.95982	5.58664	0.719879	8.50428	2.82384	4.59856	4.0417	6.65267	2.39428	6.63138	2.95795	1.85726	9.96302	2.80253	2.33461	3.62106	2.87616	5.03147	3.06894	5.18347	11.3269	5.47027	5.0745	0.0	6.25132	6.39871	3.74983	1.30713	4.47636	19.5405	7.86251	4.10074	2.61234	0.847072	1.18003	1.78148	8.07349	2.44799	0.0178707	3.84363	3.89766	2.99242	3.06603	3.23181	5.81189	1.52154	1.98989	7.00699	4.26569	7.29399	7.34185	9.56961	11.0414	2.31251	3.99486	4.89034	3.01763	10.7358	3.06265	1.77432	1.527	3.94655	5.13602	13.2538	3.43003	5.18703	1.92976	3.22529	2.31435	6.0415	4.16748	6.24801	1.26049	4.5605	4.56429	4.38838	6.88988	3.54948	6.35779	2.47748	2.23383	15.496	7.44336	20.0055	0.330089	1.07387	4.90959	11.1979	0.185682	14.9307	7.58408	5.84226	1.59628	12.903	0.935048
ENST00000000442	ENSG00000173153	11.7402	26.187	24.438	17.0229	17.8586	16.1692	17.3683	18.7292	25.7601	6.30391	32.6477	38.207	23.3104	14.1554	53.9283	48.8087	33.9861	48.2644	42.6134	23.0011	24.5363	34.9392	16.6736	46.0097	22.6318	15.5117	23.6261	23.9703	30.5577	37.1447	27.4488	17.5583	40.1954	14.4957	19.9432	14.1975	17.5485	12.7362	15.6713	23.7762	43.5881	19.9709	12.4707	41.8711	24.8214	33.5429	10.7341	35.6861	35.4404	61.9948	13.082	13.117	14.7744	29.3736	20.9374	23.3894	36.5196	40.7346	34.3332	46.4105	19.4489	18.7987	20.4033	45.7859	27.8447	35.3717	18.5605	7.62203	25.0514	30.6982	28.1	5.91357	44.3767	11.4445	84.8946	36.931	32.1809	29.1576	33.1783	34.1205	30.2039	25.3816	20.8407	39.1919	30.6005	8.68851	40.5959	13.0092	39.8962	16.7912	33.7849	39.8219	43.673	42.5746	20.9449	28.1053	41.271	18.2251	19.3209	42.7636	40.6533	17.9798	17.442	19.1829	15.3499	18.2783	18.3432	70.0659	29.2157	5.48319	34.2454	15.2088	20.1616	51.9269	33.403	37.2711	15.3859	16.886	38.1719	23.0833	35.9558	21.7525	27.7547	34.7377	21.3767	29.3012	35.7602	20.7711	15.796	35.6283	18.9382	17.1097	25.806	56.5024	25.3498	19.442	52.741	17.4728	23.318	11.5643	26.4479	38.6643	36.1905	20.3259	32.6432	41.4981	39.2221	72.3039	27.0473	25.9318	17.3692	24.0932	50.5139	71.6852	44.4619	20.675	14.5911	48.0458	94.7679	8.80434	52.1487	59.8526	23.2808	34.533	22.4688	9.73267
ENST00000405666	ENSG00000173153	9.72423	5.1239	18.3209	1.96723	6.79291	0.00836567	6.90903	1.69101e-08	2.08855	0.00196385	0.00799434	1.96627	2.93274	4.89615	9.45492	13.6921	5.10801	7.77176	8.74473	5.07099	0.00325458	7.7568	2.40146	12.8442	3.24129	5.11319	5.6916	3.90542	0.00792095	10.2559	3.83553	7.9964	8.58072	0.000222731	4.9088	0.000266085	8.42023	0.000116479	2.11133	5.40276	6.02525	1.78282	4.73532	3.64568	9.35781	8.74266	1.74551	7.5938	8.88206	5.23024	4.01108	15.8678	3.46625	2.54542	2.08696	6.72913	8.83927	16.7529	10.2686	14.9191	7.51443	3.05864	10.6266	2.9655	8.13551	6.2767	6.50835	8.49403	8.83864e-05	3.48318	4.4917	3.34325	3.39927	4.03723	17.5682	6.98807	5.68208	11.0534	7.38123	4.52453	0.000392159	5.19636	0.000144655	16.9161	7.06489	7.94961	10.1594	7.76884	2.8206	1.84925e-05	3.88145	2.68661	3.56944	1.47911	0.000536004	1.49409	16.8872	0.00170791	3.58909	12.6787	4.69684	0.0712991	5.04735	0.000346811	3.1916	0.000112415	2.04017	8.15728	5.02715	0.0200427	6.82781	3.43086	12.2248	4.6205	2.81368	5.26005	0.000169649	5.18778	5.31166	1.83551e-05	12.8982	0.0394147	4.12909	1.73219	7.87089e-07	6.29531	4.15183	5.83553	2.4723	15.0836	2.84718	0.00187964	2.72508	7.06116	0.816932	14.0589	17.7688	0.745806	0.0102875	2.19447	3.51052	19.9225	14.3793	1.62433e-06	12.4465	8.98424	2.23141	12.1637	3.60723	4.58134	7.28637e-05	1.99945	1.68489	14.118	1.79423	1.17977	0.0076112	8.75744	14.8284	0.0202542	1.19858	14.0986	8.87082	4.32911	1.77796	4.26394
ENST00000468670	ENSG00000173153	2.53736	0.914678	4.8879	2.15274	1.42925	0.202133	2.91468	1.49433	0.0669035	0.0515456	0.722188	1.21696	0.183421	1.15393	2.00371	3.02526	1.99417	1.70887	1.52319	0.97707	0.0439889	0.63495	1.04632	4.83039	0.978506	1.23284	0.996206	0.607437	0.398143	1.2692	4.36788	3.25742	0.0468712	0.761824	1.54163	1.17261	0.892539	1.09736	1.75005	1.58662	4.38701	2.55632	3.45063	2.49898	1.00617	4.63776	0.916152	4.48658	3.18668	3.9556	2.45346	2.93432	2.09003	6.15856	1.00235	4.10843	2.22405	3.96793	3.1083	3.84396	1.26567	1.16767	3.77649	0.600376	1.77002	2.224	4.6042	1.49971	2.22644	0.712689	2.86873	0.523031	3.31431	2.07892	5.27645	4.26575	3.95728	4.4565	0.665318	2.91614	0.037888	0.950931	0.680405	1.18341	1.20259	2.26227	1.83842	1.40143	0.311712	1.14828	0.685452	0.302336	0.259039	3.20755	0.955656	1.40268	2.16923	1.0024	3.56908	3.62402	0.244434	0.107978	2.31264	3.03859	2.23693	1.58241	1.84566	1.09669	3.2999	0.120493	3.94794	0.624904	2.49109	2.25019	0.830843	2.64634	2.47616	0.266137	1.93518	1.04901	1.43272	0.0441676	0.104393	0.288904	2.52071	2.69885	0.506565	3.60448	0.0793764	0.51116	1.34149	0.986277	3.20345	1.07263	0.477665	3.05328	5.24927	1.50029	2.42092	0.663123	0.0731811	0.54639	1.69255	0.921671	1.57426	0.914148	0.530831	6.98881	1.55014	0.446322	0.606703	1.31294	0.334945	2.41391	0.131205	1.81539	1.20457	2.04138	1.04616	0.874749	0.116427	0.527829	5.92353	1.39554	0.371512	2.09701
